id,condition,sound,gender,age,education,high_school,attribute,score,new
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,stim_tall,2,stim
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,stim_gay,1,stim
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,stim_ugly,2,stim
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,stim_poor,3,stim
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,stim_feminine,2,stim
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,stim_unfriendly,1,stim
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,stim_introverted,1,stim
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,stim_clever,5,stim
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,stim_unfaithful,3,stim
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,stim_indifferent,NA,stim
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,stim_natural,4,stim
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,stim_passionate,5,stim
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,self_tall,1,self
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,self_gay,1,self
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,self_ugly,3,self
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,self_poor,4,self
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,self_feminine,1,self
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,self_unfriendly,2,self
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,self_introverted,5,self
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,self_clever,5,self
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,self_unfaithful,2,self
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,self_indifferent,1,self
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,self_natural,4,self
R_00v9tyPi6ZEOkkJ,sex,Down,male,34,15,Budapest,self_passionate,5,self
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,stim_tall,3,stim
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,stim_gay,3,stim
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,stim_ugly,3,stim
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,stim_poor,4,stim
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,stim_feminine,3,stim
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,stim_unfriendly,1,stim
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,stim_introverted,3,stim
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,stim_clever,3,stim
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,stim_unfaithful,3,stim
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,stim_indifferent,4,stim
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,stim_natural,2,stim
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,stim_passionate,3,stim
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,self_tall,5,self
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,self_gay,1,self
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,self_ugly,5,self
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,self_poor,3,self
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,self_feminine,2,self
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,self_unfriendly,1,self
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,self_introverted,1,self
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,self_clever,4,self
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,self_unfaithful,1,self
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,self_indifferent,4,self
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,self_natural,5,self
R_01iIQrbJGNXN5Bj,sex,Up,male,56,14,Szeged,self_passionate,2,self
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,stim_tall,3,stim
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,stim_gay,3,stim
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,stim_ugly,4,stim
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,stim_poor,3,stim
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,stim_feminine,3,stim
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,stim_unfriendly,4,stim
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,stim_introverted,5,stim
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,stim_clever,4,stim
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,stim_unfaithful,3,stim
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,stim_indifferent,1,stim
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,stim_natural,2,stim
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,stim_passionate,1,stim
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,self_tall,2,self
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,self_gay,2,self
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,self_ugly,2,self
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,self_poor,3,self
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,self_feminine,2,self
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,self_unfriendly,1,self
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,self_introverted,2,self
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,self_clever,5,self
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,self_unfaithful,1,self
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,self_indifferent,2,self
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,self_natural,4,self
R_03xBYybOmS1pLut,city,Down,male,26,20,Miskolc,self_passionate,2,self
